Hours Studies,Attendance,Sleep Hours,Parental Education,Extra Activities,Previous Score,Result (Pass/Fail)
6.6,80,5.0,PhD,No,76,Pass
6.6,61,9.2,Undergraduate,No,94,Pass
3.3,94,6.2,High School,No,61,Pass
8.3,63,5.0,Undergraduate,Yes,75,Pass
6.4,79,8.3,Undergraduate,No,58,Pass
9.4,96,9.2,Diploma,Yes,57,Pass
8.9,51,8.2,Diploma,No,39,Pass
4.5,69,6.2,Postgraduate,No,90,Pass
2.1,57,6.7,High School,Yes,43,Fail
8.5,88,6.5,Undergraduate,No,99,Pass
5.9,60,7.4,PhD,No,45,Fail
4.7,86,6.0,Diploma,Yes,65,Pass
4.3,53,9.5,PhD,No,85,Pass
9.4,80,6.3,High School,Yes,77,Pass
6.4,90,8.8,Undergraduate,No,72,Pass
6.7,96,7.9,Undergraduate,Yes,63,Pass
6.1,93,8.8,Diploma,Yes,81,Pass
7.2,83,8.8,PhD,Yes,96,Pass
2.2,60,7.4,Postgraduate,No,66,Fail
7.4,82,6.0,Undergraduate,No,46,Pass
3.2,85,4.5,Postgraduate,No,54,Fail
7.8,54,7.6,PhD,Yes,67,Pass
6.0,99,4.8,Undergraduate,No,52,Pass
8.3,62,7.2,Undergraduate,No,83,Pass
5.8,65,9.2,Undergraduate,No,58,Pass
1.9,57,5.6,High School,No,41,Fail
3.0,100,6.3,Undergraduate,Yes,98,Pass
4.8,83,6.5,Undergraduate,No,96,Pass
4.2,69,6.5,Undergraduate,Yes,80,Pass
7.1,91,7.5,Diploma,Yes,45,Pass
3.0,53,9.3,Undergraduate,No,50,Fail
4.7,92,8.1,Diploma,No,74,Pass
6.4,56,7.5,Undergraduate,Yes,77,Pass
9.9,69,8.7,Undergraduate,Yes,81,Pass
2.7,60,8.5,Undergraduate,No,70,Fail
6.7,80,8.6,High School,No,51,Pass
3.4,51,7.3,Postgraduate,Yes,80,Fail
7.3,58,9.0,High School,No,65,Pass
5.2,80,6.7,Diploma,Yes,37,Fail
7.7,64,5.8,Undergraduate,No,99,Pass
9.4,96,8.0,Undergraduate,Yes,81,Pass
8.0,53,9.4,Undergraduate,Yes,82,Pass
8.2,59,7.6,Diploma,Yes,90,Pass
4.1,51,8.1,High School,Yes,81,Fail
1.7,58,7.7,Undergraduate,Yes,88,Fail
2.7,100,7.7,Postgraduate,Yes,36,Fail
5.1,59,8.5,Diploma,No,80,Pass
9.6,77,5.7,Undergraduate,Yes,93,Pass
0.9,93,9.4,Postgraduate,No,93,Pass
9.5,94,6.2,High School,No,81,Pass
7.7,83,7.4,Diploma,No,38,Pass
8.4,78,7.4,Postgraduate,Yes,97,Pass
6.7,77,9.1,Diploma,Yes,99,Pass
1.4,52,7.2,Undergraduate,Yes,78,Fail
5.9,56,7.3,Undergraduate,Yes,97,Pass
5.3,93,6.2,Postgraduate,No,47,Pass
6.5,99,6.7,Undergraduate,No,99,Pass
6.3,100,5.3,Diploma,Yes,69,Pass
3.3,80,6.5,Undergraduate,Yes,97,Pass
2.3,75,9.4,Diploma,No,51,Fail
9.6,71,7.1,Diploma,No,60,Pass
7.3,67,7.9,Diploma,No,73,Pass
2.6,63,8.3,High School,Yes,57,Fail
9.5,83,4.9,Diploma,Yes,35,Pass
7.2,53,8.8,PhD,Yes,76,Pass
5.6,62,9.1,Diploma,Yes,78,Pass
3.8,59,6.3,PhD,Yes,71,Fail
7.0,62,9.2,Undergraduate,Yes,53,Pass
5.8,89,7.1,Undergraduate,No,85,Pass
7.2,63,6.2,Postgraduate,Yes,48,Pass
9.2,86,7.5,High School,Yes,94,Pass
7.4,76,9.2,Diploma,Yes,65,Pass
7.7,94,8.9,Diploma,No,56,Pass
1.8,74,6.1,Undergraduate,Yes,82,Fail
5.7,99,5.7,High School,No,93,Pass
8.1,85,9.3,Undergraduate,Yes,100,Pass
6.2,81,9.1,High School,Yes,62,Pass
2.9,77,7.6,PhD,Yes,74,Pass
3.9,59,9.0,Diploma,Yes,80,Pass
7.0,70,6.2,Undergraduate,No,85,Pass
9.0,80,9.2,Undergraduate,Yes,93,Pass
0.8,69,9.2,Postgraduate,Yes,83,Fail
3.9,78,6.5,Undergraduate,No,48,Fail
5.9,89,6.1,Undergraduate,No,100,Pass
4.8,68,7.0,High School,No,63,Fail
8.4,72,5.0,High School,Yes,54,Pass
8.4,87,8.0,Postgraduate,No,52,Pass
1.4,66,8.4,Undergraduate,Yes,77,Fail
1.5,88,6.9,Postgraduate,Yes,92,Pass
2.1,87,7.7,Postgraduate,No,46,Fail
5.7,56,8.0,Diploma,No,65,Fail
1.8,94,5.7,Postgraduate,No,66,Pass
1.8,87,7.0,High School,Yes,99,Pass
6.5,91,5.6,Undergraduate,No,80,Pass
9.8,61,5.8,PhD,No,93,Pass
1.2,68,5.6,Undergraduate,Yes,58,Fail
6.1,80,5.6,Undergraduate,Yes,60,Pass
6.3,94,8.7,Undergraduate,Yes,94,Pass
1.5,66,6.1,PhD,Yes,48,Fail
6.5,90,4.5,Postgraduate,No,99,Pass
0.7,53,8.1,Undergraduate,No,100,Fail
9.6,88,7.4,Diploma,No,77,Pass
2.6,59,5.3,High School,No,82,Fail
7.2,90,8.8,Postgraduate,Yes,75,Pass
0.7,77,7.6,Postgraduate,Yes,44,Fail
4.6,94,5.6,High School,No,36,Fail
5.5,93,6.6,High School,Yes,86,Pass
4.5,88,6.5,Undergraduate,No,55,Pass
8.9,75,6.5,Undergraduate,No,84,Pass
8.3,78,4.9,Undergraduate,Yes,39,Pass
8.9,89,7.9,Diploma,No,82,Pass
8.9,57,6.9,Postgraduate,No,66,Pass
9.3,92,7.4,Postgraduate,Yes,90,Pass
6.7,52,9.1,Postgraduate,Yes,53,Pass
7.0,59,7.1,PhD,Yes,44,Pass
3.0,71,4.8,Undergraduate,No,85,Fail
2.7,66,9.1,High School,Yes,100,Pass
5.0,91,6.9,Diploma,Yes,47,Pass
9.0,88,6.2,Undergraduate,Yes,39,Pass
2.4,67,7.2,Diploma,No,55,Fail
4.4,54,9.1,High School,Yes,69,Fail
0.8,59,5.8,Diploma,Yes,53,Fail
9.5,68,7.2,Postgraduate,Yes,77,Pass
9.0,99,7.6,Undergraduate,No,61,Pass
4.8,74,5.5,Diploma,No,81,Pass
8.1,54,7.1,Diploma,Yes,69,Pass
4.6,95,7.5,Undergraduate,No,80,Pass
6.0,96,4.7,High School,No,81,Pass
7.3,99,4.9,Postgraduate,No,98,Pass
6.1,84,8.4,Undergraduate,Yes,97,Pass
1.4,86,8.2,Diploma,No,79,Fail
3.3,64,5.4,High School,No,92,Fail
9.3,94,5.6,Postgraduate,Yes,64,Pass
6.0,50,5.8,Undergraduate,Yes,87,Pass
5.6,59,8.0,Diploma,Yes,83,Pass
3.3,85,7.7,Undergraduate,No,89,Pass
4.9,100,6.1,Postgraduate,No,94,Pass
5.5,54,7.1,Diploma,No,56,Fail
3.2,51,8.6,High School,No,59,Fail
3.3,67,8.6,PhD,No,54,Fail
9.7,92,6.2,PhD,Yes,71,Pass
7.8,67,7.3,Undergraduate,Yes,88,Pass
3.9,80,5.9,Postgraduate,Yes,68,Pass
3.7,69,6.9,High School,Yes,80,Pass
4.1,59,6.6,Diploma,Yes,76,Fail
9.1,52,6.4,PhD,No,61,Pass
1.5,71,6.7,High School,Yes,38,Fail
0.7,61,7.5,Diploma,Yes,58,Fail
5.8,100,4.9,Undergraduate,Yes,64,Pass
4.5,96,5.4,Undergraduate,Yes,52,Pass
6.1,62,9.4,Diploma,Yes,88,Pass
8.4,88,9.1,Undergraduate,Yes,90,Pass
3.3,78,6.5,Postgraduate,No,83,Pass
5.3,74,4.6,Postgraduate,No,77,Pass
9.8,59,4.7,High School,Yes,84,Pass
5.5,65,4.8,PhD,Yes,38,Fail
1.1,51,5.4,Postgraduate,Yes,77,Fail
4.8,69,6.3,Undergraduate,Yes,77,Pass
4.1,82,6.4,Postgraduate,Yes,82,Pass
9.6,65,5.5,Postgraduate,Yes,66,Pass
3.0,57,8.1,Undergraduate,Yes,61,Fail
7.9,97,8.2,Diploma,Yes,58,Pass
0.9,88,4.9,Undergraduate,No,87,Fail
2.3,69,5.0,Undergraduate,No,75,Fail
9.3,50,9.0,High School,No,81,Pass
8.5,98,5.7,Undergraduate,No,67,Pass
8.5,97,5.9,Undergraduate,No,74,Pass
9.6,71,8.6,Postgraduate,No,69,Pass
5.2,83,9.5,Postgraduate,Yes,84,Pass
6.1,93,4.6,Undergraduate,Yes,46,Pass
1.5,78,8.8,Diploma,No,91,Fail
9.4,54,7.0,PhD,No,72,Pass
7.2,94,7.7,Diploma,No,58,Pass
1.7,59,5.9,Undergraduate,Yes,63,Fail
6.0,66,8.9,High School,Yes,43,Fail
8.6,75,9.1,High School,No,58,Pass
5.8,76,7.8,Diploma,Yes,91,Pass
8.1,71,6.7,Undergraduate,No,79,Pass
6.9,89,5.8,Diploma,Yes,70,Pass
0.8,93,4.6,Undergraduate,Yes,100,Pass
5.7,67,6.9,Diploma,No,67,Pass
6.0,62,6.0,PhD,Yes,89,Pass
3.3,51,9.1,Undergraduate,Yes,72,Fail
7.3,76,4.8,Postgraduate,No,79,Pass
6.0,70,7.3,Undergraduate,No,87,Pass
8.2,77,8.1,Postgraduate,Yes,64,Pass
2.7,80,4.5,High School,Yes,95,Pass
5.1,61,7.6,PhD,Yes,65,Pass
0.8,99,7.1,Undergraduate,No,45,Fail
5.7,53,4.7,Undergraduate,No,88,Fail
8.0,98,8.4,Postgraduate,No,54,Pass
6.0,67,5.8,High School,No,46,Fail
8.6,90,6.6,PhD,No,84,Pass
3.3,78,6.5,Undergraduate,Yes,90,Pass
8.4,86,4.8,Postgraduate,Yes,88,Pass
5.2,89,5.4,Postgraduate,No,57,Pass
8.1,88,6.6,Undergraduate,Yes,71,Pass
7.6,69,5.4,High School,No,41,Fail
2.1,56,9.4,Postgraduate,Yes,88,Fail
2.9,90,4.9,High School,No,39,Fail
3.2,78,6.2,Undergraduate,No,53,Fail
7.1,52,9.4,High School,No,47,Fail
6.6,64,6.4,Diploma,No,40,Fail
3.1,69,5.1,Undergraduate,No,44,Fail
2.1,98,7.6,PhD,No,51,Fail
4.0,60,5.1,Postgraduate,Yes,45,Fail
7.7,94,5.2,Undergraduate,No,64,Pass
3.5,97,7.8,Undergraduate,No,46,Fail
7.3,62,5.0,Postgraduate,Yes,95,Pass
7.8,80,5.2,Postgraduate,No,51,Pass
6.6,56,8.6,Undergraduate,No,61,Pass
7.5,69,6.7,Diploma,No,38,Pass
7.4,99,5.9,Undergraduate,No,49,Pass
6.4,79,8.2,Postgraduate,No,50,Pass
9.6,64,6.6,Undergraduate,No,92,Pass
4.3,54,4.8,Postgraduate,No,47,Fail
7.9,87,4.5,Diploma,Yes,39,Pass
2.4,91,9.0,Postgraduate,Yes,98,Pass
3.0,62,5.6,PhD,Yes,81,Pass
7.5,93,7.9,Postgraduate,Yes,57,Pass
8.4,82,7.4,Postgraduate,Yes,36,Pass
7.5,62,8.4,Undergraduate,Yes,68,Pass
7.4,90,5.8,Undergraduate,Yes,49,Pass
8.9,61,5.2,Undergraduate,No,80,Pass
2.9,90,6.2,Undergraduate,Yes,85,Pass
4.1,97,5.4,PhD,No,62,Pass
1.6,75,4.9,Undergraduate,Yes,58,Fail
3.7,55,6.8,Diploma,No,52,Fail
6.6,58,5.8,Undergraduate,No,77,Pass
3.1,80,6.7,Postgraduate,Yes,61,Pass
4.9,81,5.0,Undergraduate,No,37,Fail
5.2,61,5.1,Diploma,No,93,Pass
6.0,95,8.9,PhD,No,90,Pass
4.8,71,7.1,High School,Yes,38,Fail
7.2,80,7.1,High School,No,71,Pass
9.4,51,9.0,PhD,No,87,Pass
5.1,97,7.0,Diploma,Yes,93,Pass
4.6,88,5.5,Diploma,No,83,Pass
0.8,79,7.5,PhD,Yes,43,Fail
4.2,63,4.8,High School,No,82,Fail
4.6,97,8.8,Diploma,No,71,Pass
0.6,68,6.8,Postgraduate,Yes,69,Fail
1.9,99,7.6,Diploma,Yes,57,Pass
5.2,98,6.6,Postgraduate,No,87,Pass
0.7,89,9.4,PhD,Yes,62,Fail
2.1,85,7.3,Undergraduate,Yes,53,Fail
3.8,53,4.8,Diploma,Yes,52,Fail
6.8,56,6.6,Undergraduate,Yes,67,Pass
1.8,88,7.8,Postgraduate,Yes,98,Pass
7.4,100,8.6,PhD,No,83,Pass
3.3,73,7.9,Postgraduate,No,63,Fail
6.2,71,5.4,Undergraduate,No,97,Pass
8.9,75,9.2,PhD,No,45,Pass
2.5,64,5.1,Undergraduate,No,69,Fail
6.0,68,7.1,Diploma,Yes,82,Pass
7.8,70,5.9,Postgraduate,Yes,62,Pass
1.0,84,6.3,Diploma,No,66,Fail
5.5,95,7.8,Undergraduate,No,95,Pass
6.4,57,8.3,Undergraduate,Yes,44,Fail
1.5,61,6.3,Postgraduate,No,56,Fail
9.0,98,6.2,Diploma,Yes,43,Pass
7.9,87,4.9,Undergraduate,No,53,Pass
8.4,94,6.4,Postgraduate,Yes,55,Pass
5.8,76,6.2,Diploma,No,58,Pass
1.4,62,9.5,Diploma,No,89,Fail
0.5,65,9.3,Undergraduate,No,60,Fail
8.0,53,5.0,Undergraduate,Yes,63,Pass
6.9,82,8.7,Postgraduate,Yes,95,Pass
0.6,90,4.8,Postgraduate,Yes,45,Fail
9.3,98,9.4,Diploma,No,88,Pass
8.6,75,8.5,PhD,No,42,Pass
6.2,53,6.4,PhD,Yes,70,Pass
8.2,67,8.7,Diploma,No,96,Pass
5.3,84,5.3,Undergraduate,Yes,60,Pass
8.8,50,6.1,PhD,Yes,90,Pass
4.6,96,5.2,PhD,No,91,Pass
4.9,90,5.9,Undergraduate,No,76,Pass
4.5,86,5.3,Undergraduate,No,76,Pass
3.1,85,6.7,Undergraduate,No,45,Fail
6.2,52,8.1,Undergraduate,Yes,77,Pass
7.9,98,5.7,Postgraduate,Yes,92,Pass
5.8,50,8.2,Diploma,No,91,Pass
7.0,84,8.0,Postgraduate,Yes,99,Pass
6.7,88,9.3,Undergraduate,No,53,Pass
7.1,60,6.0,Diploma,No,57,Pass
5.9,90,8.7,Undergraduate,Yes,45,Pass
2.9,77,6.2,Undergraduate,Yes,88,Pass
1.4,89,6.4,Diploma,Yes,82,Pass
8.9,62,5.0,Undergraduate,No,47,Pass
4.7,83,5.1,Undergraduate,No,59,Fail
1.6,62,9.2,Undergraduate,Yes,90,Fail
5.1,59,7.8,Diploma,No,53,Fail
3.6,51,7.4,Diploma,Yes,71,Fail
0.8,90,5.6,High School,Yes,41,Fail
4.2,95,6.6,Postgraduate,No,94,Pass
2.6,89,6.2,Diploma,No,66,Pass
4.7,66,9.1,Undergraduate,Yes,64,Pass
4.4,87,7.0,Diploma,No,51,Pass
9.6,67,5.4,Undergraduate,No,96,Pass
9.9,84,7.1,Undergraduate,Yes,58,Pass
0.7,97,5.4,High School,No,58,Fail
1.5,56,5.5,High School,Yes,49,Fail
4.9,87,6.9,Postgraduate,Yes,84,Pass
10.0,73,4.7,High School,No,79,Pass
8.3,73,8.5,Postgraduate,No,51,Pass
2.9,77,9.3,High School,Yes,80,Pass
4.7,56,8.2,Postgraduate,Yes,86,Pass
0.6,78,8.0,Diploma,No,60,Fail
3.5,63,9.4,Diploma,Yes,67,Fail
4.0,79,7.0,Undergraduate,Yes,94,Pass
2.3,71,8.4,PhD,Yes,54,Fail
3.7,98,9.3,Undergraduate,No,64,Pass
8.6,99,8.5,Undergraduate,No,72,Pass
3.5,75,5.0,Undergraduate,Yes,59,Fail
3.1,69,9.4,Diploma,No,92,Pass
9.8,88,7.0,Diploma,Yes,47,Pass
2.4,51,4.8,Diploma,No,40,Fail
3.6,53,5.6,Undergraduate,Yes,71,Fail
5.6,71,6.2,Undergraduate,No,79,Pass
5.0,87,7.7,High School,No,79,Pass
3.6,78,4.6,Diploma,No,82,Fail
6.0,92,8.4,Undergraduate,Yes,74,Pass
4.1,69,4.9,Undergraduate,No,73,Fail
5.6,83,5.4,High School,No,38,Fail
6.7,100,7.0,High School,No,76,Pass
4.8,56,6.2,Diploma,Yes,49,Fail
4.4,95,5.7,PhD,Yes,96,Pass
9.9,50,6.5,Postgraduate,Yes,66,Pass
2.2,91,7.0,High School,Yes,67,Fail
7.4,95,5.6,Undergraduate,No,87,Pass
0.9,84,7.3,Undergraduate,No,83,Fail
5.8,63,5.0,Diploma,No,85,Pass
4.9,89,5.2,Undergraduate,Yes,80,Pass
8.8,90,8.9,Postgraduate,Yes,44,Pass
2.4,50,5.2,Diploma,No,65,Fail
2.9,52,6.0,Diploma,Yes,66,Fail
9.6,90,5.6,Postgraduate,Yes,91,Pass
4.5,77,7.7,High School,No,72,Pass
2.1,80,8.8,Postgraduate,No,76,Pass
2.8,67,5.4,PhD,Yes,45,Fail
3.7,50,9.2,High School,Yes,60,Fail
3.4,96,6.8,Undergraduate,No,44,Fail
7.3,80,4.7,Diploma,No,82,Pass
1.4,58,9.2,Postgraduate,No,43,Fail
6.7,82,6.1,Postgraduate,No,84,Pass
8.5,87,9.3,Postgraduate,Yes,98,Pass
4.5,89,7.0,Undergraduate,Yes,58,Pass
0.7,85,6.9,Postgraduate,No,94,Pass
9.5,96,6.3,Diploma,No,76,Pass
8.9,57,5.4,High School,No,93,Pass
9.4,73,5.3,High School,No,62,Pass
8.8,56,8.5,Undergraduate,No,57,Pass
9.5,61,6.3,Undergraduate,Yes,73,Pass
9.5,85,9.5,Undergraduate,No,74,Pass
5.6,64,7.1,Diploma,No,53,Fail
4.2,70,6.1,PhD,No,50,Fail
3.9,70,7.5,PhD,Yes,83,Pass
5.5,56,5.9,Diploma,No,58,Fail
2.4,73,5.7,Diploma,No,53,Fail
3.0,92,8.7,Diploma,Yes,55,Pass
2.4,69,5.8,Undergraduate,No,98,Pass
2.4,72,4.7,Postgraduate,No,64,Fail
9.0,90,7.6,Diploma,No,55,Pass
5.6,88,5.8,Postgraduate,No,56,Pass
8.1,88,5.8,Postgraduate,No,86,Pass
0.9,60,7.3,Undergraduate,No,86,Fail
0.8,81,5.8,Undergraduate,No,96,Fail
0.7,83,6.2,Undergraduate,Yes,43,Fail
2.8,92,8.4,Undergraduate,Yes,79,Pass
9.6,59,8.6,Postgraduate,Yes,36,Pass
2.8,71,6.5,High School,Yes,53,Fail
7.8,88,8.9,Undergraduate,No,85,Pass
8.6,81,7.7,Diploma,Yes,66,Pass
9.4,85,6.9,Undergraduate,No,54,Pass
1.2,84,4.8,Undergraduate,No,81,Fail
4.5,57,7.0,Undergraduate,No,83,Pass
2.6,74,9.3,Diploma,No,67,Fail
3.1,88,8.0,High School,Yes,49,Fail
0.8,53,7.4,PhD,Yes,81,Fail
1.9,74,5.9,Diploma,No,82,Fail
6.3,92,7.3,Undergraduate,Yes,85,Pass
8.4,64,5.0,Diploma,No,85,Pass
10.0,57,7.7,Postgraduate,No,52,Pass
7.6,95,5.7,Undergraduate,Yes,89,Pass
2.2,59,6.5,Undergraduate,Yes,47,Fail
1.5,90,7.1,Diploma,No,42,Fail
6.9,56,9.2,Undergraduate,Yes,94,Pass
9.1,73,6.3,PhD,No,91,Pass
6.6,83,7.9,Undergraduate,Yes,92,Pass
8.7,83,6.0,Postgraduate,Yes,95,Pass
2.1,86,8.6,Undergraduate,Yes,80,Pass
4.6,81,7.6,Undergraduate,No,39,Fail
2.1,68,7.3,Postgraduate,No,40,Fail
7.5,57,7.9,Postgraduate,No,56,Pass
9.9,51,6.6,Postgraduate,No,78,Pass
7.9,97,8.2,Postgraduate,Yes,37,Pass
2.9,99,8.5,Diploma,Yes,55,Pass
1.9,93,7.8,Undergraduate,No,40,Fail
5.3,81,8.1,PhD,Yes,80,Pass
2.9,75,5.4,PhD,Yes,83,Pass
9.0,52,4.8,Postgraduate,Yes,90,Pass
2.9,69,7.2,Undergraduate,Yes,37,Fail
0.7,77,4.5,Diploma,Yes,73,Fail
1.8,93,9.0,High School,Yes,100,Pass
1.1,77,7.2,High School,No,53,Fail
5.4,62,6.7,High School,No,45,Fail
7.3,86,6.7,High School,Yes,50,Pass
2.6,58,9.3,Postgraduate,No,64,Fail
5.6,66,5.3,Undergraduate,Yes,41,Fail
1.6,92,6.8,High School,No,50,Fail
1.5,52,8.9,High School,Yes,82,Fail
8.8,91,5.8,Diploma,No,67,Pass
1.8,80,5.2,Diploma,No,38,Fail
6.0,81,6.1,Undergraduate,No,43,Pass
6.8,85,8.8,High School,Yes,79,Pass
5.6,78,7.6,Diploma,Yes,81,Pass
2.6,83,8.7,Undergraduate,No,86,Pass
2.5,77,6.8,Undergraduate,No,43,Fail
6.5,63,9.3,High School,No,57,Fail
5.3,53,8.3,High School,No,100,Pass
1.0,81,5.4,PhD,Yes,75,Fail
2.2,78,8.8,High School,Yes,54,Fail
6.8,87,8.5,Undergraduate,Yes,80,Pass
5.5,79,8.5,Diploma,Yes,47,Pass
1.7,86,7.5,Undergraduate,Yes,60,Fail
7.2,100,8.9,Postgraduate,Yes,91,Pass
8.1,78,7.2,Undergraduate,No,67,Pass
0.8,83,8.3,High School,No,77,Fail
10.0,94,6.2,Diploma,No,51,Pass
2.0,82,5.3,Postgraduate,No,64,Fail
6.6,78,5.3,Undergraduate,No,41,Fail
5.4,67,4.6,Diploma,No,88,Pass
4.3,69,6.1,Undergraduate,Yes,41,Fail
9.0,96,6.0,Diploma,Yes,83,Pass
5.6,82,5.4,Undergraduate,Yes,52,Pass
5.3,60,6.9,Postgraduate,Yes,86,Pass
9.5,75,7.7,Diploma,No,75,Pass
5.1,61,5.4,High School,No,81,Fail
9.7,91,7.7,Diploma,No,49,Pass
7.0,91,5.6,Diploma,Yes,80,Pass
8.5,76,7.2,Undergraduate,Yes,42,Pass
0.6,71,8.7,Undergraduate,No,59,Fail
4.2,92,8.0,Diploma,No,71,Pass
0.7,69,5.9,Postgraduate,No,90,Fail
5.6,60,7.8,Postgraduate,Yes,99,Pass
2.3,51,8.4,Diploma,No,79,Fail
4.9,100,5.2,Undergraduate,Yes,72,Pass
9.2,84,7.1,Postgraduate,No,88,Pass
0.9,85,6.8,PhD,No,35,Fail
2.8,55,4.6,High School,Yes,72,Fail
7.1,96,8.6,Undergraduate,No,53,Pass
5.4,52,8.5,Postgraduate,Yes,87,Pass
9.5,61,7.8,Postgraduate,No,71,Pass
8.3,52,6.9,Undergraduate,Yes,97,Pass
6.6,66,8.3,Undergraduate,Yes,49,Pass
1.3,81,5.9,Undergraduate,No,91,Pass
6.8,69,5.4,PhD,Yes,35,Fail
6.7,55,7.8,High School,No,90,Pass
5.6,93,4.8,Undergraduate,No,50,Pass
5.8,67,6.9,PhD,No,83,Pass
6.3,59,7.8,Postgraduate,Yes,82,Pass
2.2,72,8.4,Undergraduate,Yes,47,Fail
8.1,59,4.5,Postgraduate,No,36,Fail
6.9,94,8.6,High School,Yes,100,Pass
1.1,62,7.3,Postgraduate,No,43,Fail
0.9,70,8.6,Undergraduate,Yes,86,Fail
1.3,63,8.0,Undergraduate,No,42,Fail
1.7,87,4.9,Undergraduate,No,47,Fail
5.1,54,8.4,Undergraduate,No,81,Pass
2.9,95,5.9,Undergraduate,No,78,Pass
3.3,51,4.8,Undergraduate,Yes,87,Fail
6.3,84,7.0,Undergraduate,No,68,Pass
3.4,70,8.2,Diploma,No,95,Pass
2.0,79,7.3,Diploma,Yes,38,Fail
3.5,98,7.5,Diploma,Yes,73,Pass
9.3,96,7.5,High School,No,87,Pass
9.9,75,5.9,Postgraduate,No,68,Pass
7.1,99,8.3,Diploma,No,66,Pass
7.1,92,7.8,Postgraduate,No,69,Pass
2.3,70,9.5,PhD,No,78,Fail
6.8,83,5.7,Undergraduate,No,45,Pass
3.5,70,8.2,Postgraduate,Yes,47,Fail
9.5,66,8.3,Diploma,No,50,Pass
6.8,90,8.6,Undergraduate,No,65,Pass
9.3,63,7.2,PhD,No,67,Pass
7.8,69,7.4,Undergraduate,No,77,Pass
6.3,92,6.4,High School,No,39,Pass
7.6,69,5.0,Undergraduate,No,56,Pass
9.4,57,8.8,Postgraduate,Yes,35,Pass
2.0,74,5.8,Undergraduate,Yes,77,Fail
3.4,55,7.2,Undergraduate,No,80,Fail
1.0,51,9.5,Postgraduate,No,85,Fail
3.9,100,7.2,High School,No,57,Pass
5.8,70,8.2,Diploma,Yes,52,Pass
4.3,97,7.2,Postgraduate,Yes,67,Pass
4.4,89,4.8,Undergraduate,Yes,95,Pass
7.2,81,8.9,Undergraduate,Yes,44,Pass
4.0,94,5.6,Postgraduate,Yes,44,Pass
0.9,90,6.6,Diploma,No,42,Fail
6.1,79,8.5,Postgraduate,Yes,50,Pass
7.1,57,6.6,Undergraduate,No,75,Pass
1.1,55,8.3,Diploma,Yes,46,Fail
6.7,99,6.4,PhD,No,91,Pass
5.6,84,9.2,Postgraduate,No,82,Pass
1.9,71,8.1,Diploma,No,74,Fail
6.1,66,6.3,Diploma,Yes,93,Pass
6.5,79,7.1,Diploma,No,57,Pass
6.5,96,6.7,Undergraduate,Yes,65,Pass
6.8,66,5.8,High School,Yes,56,Pass
0.6,86,8.3,Undergraduate,No,99,Pass
8.0,93,5.2,Undergraduate,No,64,Pass
4.2,66,8.8,Postgraduate,No,59,Fail
5.4,53,6.4,Undergraduate,Yes,48,Fail
6.3,78,7.7,Undergraduate,No,35,Fail
3.4,63,7.7,Diploma,No,41,Fail
2.9,82,5.9,Undergraduate,No,64,Fail
0.6,56,5.1,Diploma,No,51,Fail
4.9,82,7.9,Postgraduate,No,61,Pass
9.8,55,8.6,Undergraduate,No,59,Pass
9.5,78,9.2,High School,Yes,67,Pass
5.9,74,6.4,Undergraduate,Yes,59,Pass
9.8,76,5.0,Diploma,No,41,Pass
6.5,63,5.0,PhD,Yes,41,Fail
5.3,93,4.7,Postgraduate,Yes,90,Pass
9.3,85,7.0,High School,No,76,Pass
9.9,94,7.6,High School,No,92,Pass
1.2,97,7.5,Undergraduate,Yes,92,Pass
9.9,61,5.0,Postgraduate,No,54,Pass
2.7,70,6.8,PhD,No,53,Fail
9.5,89,8.4,Undergraduate,No,61,Pass
4.6,88,4.8,Diploma,Yes,93,Pass
8.4,54,5.5,High School,No,77,Pass
8.5,68,6.6,Undergraduate,No,61,Pass
9.2,95,8.2,Diploma,No,94,Pass
9.9,62,9.5,Diploma,No,72,Pass
3.9,94,7.0,Postgraduate,No,59,Pass
6.9,68,4.6,Postgraduate,No,63,Pass
7.5,59,7.3,Undergraduate,Yes,67,Pass
6.0,99,6.0,Undergraduate,No,42,Pass
4.4,80,7.1,Undergraduate,Yes,89,Pass
6.3,95,6.5,Undergraduate,Yes,41,Pass
4.7,64,8.5,High School,No,88,Pass
8.8,91,8.0,Undergraduate,Yes,54,Pass
9.9,84,9.5,Undergraduate,Yes,91,Pass
9.1,70,6.1,Postgraduate,Yes,43,Pass
7.1,74,9.2,Undergraduate,No,73,Pass
4.7,83,4.9,Undergraduate,Yes,94,Pass
7.2,99,6.9,Postgraduate,Yes,79,Pass
5.3,68,7.0,Postgraduate,No,80,Pass
7.1,85,6.6,Postgraduate,Yes,70,Pass
4.4,89,9.4,Undergraduate,No,70,Pass
4.8,95,8.0,Undergraduate,Yes,94,Pass
0.5,64,6.6,Postgraduate,No,54,Fail
2.1,71,6.4,Diploma,Yes,68,Fail
6.8,50,5.8,High School,No,78,Pass
5.9,64,6.0,High School,No,57,Fail
3.0,74,5.9,Postgraduate,No,85,Pass
3.7,62,5.5,Undergraduate,No,65,Fail
6.4,77,6.2,Undergraduate,No,70,Pass
5.9,90,5.8,Undergraduate,No,90,Pass
7.5,69,7.2,High School,No,73,Pass
5.4,69,8.8,Undergraduate,Yes,78,Pass
1.5,77,8.3,Undergraduate,Yes,87,Pass
4.4,78,8.6,Undergraduate,No,64,Pass
2.7,67,6.0,Undergraduate,No,80,Fail
